,Unnamed: 0,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),TOTAL SCHOOLS (PREP),TOTAL STUDENTS (PRESTD),TOTAL  TEACHERS: MALE  (PMTCH),TOTAL  TEACHERS: FEMALE  (PFTCH),BLIND (BLC1),LOW VISION (LVC1),HEARING IMPAIRMENT (HEC1),SPEECH IMPAIRMENT (SPC1),LOCOMOTOR IMPAIRMENT (LOC1),MENTAL RETARDATION (MEC1),LEARNING DISABILITY (LEC1),CEREBRAL PALSY (CPC1),AUTISM (AUC1),MULTIPLE (MUC1)
74,74,2015-16,HARYANA,KAITHAL,1072861.0,13.39,880.0,70.56,60.69,79.33,2317.0,401,20876,1623,3098,10,258,116,145,328,540,368,43,19,173
75,75,2015-16,HARYANA,KARNAL,1506323.0,18.22,886.0,76.44,68.29,83.73,2520.0,424,34483,1878,4787,14,402,82,116,328,529,147,9,7,163
76,76,2015-16,HARYANA,PANIPAT,1202811.0,24.33,861.0,77.46,68.23,85.45,1268.0,314,21136,1401,3587,71,123,80,109,220,346,373,18,8,121
77,77,2015-16,HARYANA,SONIPAT,1480080.0,15.71,853.0,80.83,70.88,89.4,2122.0,476,27455,2286,5797,16,428,172,282,304,660,219,27,10,201
78,78,2015-16,HARYANA,JIND,1332042.0,11.95,870.0,72.73,61.58,82.49,2702.0,398,14975,2102,3047,14,178,112,118,333,494,111,32,7,165
79,79,2015-16,HARYANA,FATEHABAD,941522.0,16.79,903.0,69.13,59.29,78.1,2538.0,400,12862,1092,1725,21,108,95,89,298,397,96,17,9,121
80,80,2015-16,HARYANA,SIRSA,1295114.0,15.98,896.0,70.35,61.16,78.64,4277.0,612,21508,1439,2845,14,269,190,200,412,428,426,86,10,182
81,81,2015-16,HARYANA,HISAR,1742815.0,13.38,871.0,73.24,62.31,82.79,3983.0,386,23066,2748,5360,46,167,145,104,419,579,100,25,6,232
82,82,2015-16,HARYANA,BHIWANI,1629109.0,14.32,884.0,76.74,64.8,87.39,4778.0,650,17548,3292,4413,13,231,127,196,362,554,192,47,21,331
83,83,2015-16,HARYANA,ROHTAK,1058683.0,12.61,868.0,80.37,71.19,88.42,1745.0,124,5410,1218,2718,11,107,93,71,229,377,36,11,2,55
84,84,2015-16,HARYANA,JHAJJAR,956907.0,8.73,861.0,80.83,70.96,89.44,1834.0,431,15770,1692,3702,5,56,50,53,97,182,35,7,6,90
85,85,2015-16,HARYANA,MAHENDRAGARH,921680.0,13.43,894.0,78.87,65.25,91.28,1899.0,412,8895,2054,1961,34,88,70,122,213,248,183,14,14,129
86,86,2015-16,HARYANA,REWARI,896129.0,17.09,898.0,82.23,70.54,92.92,1594.0,68,3972,1392,2232,14,66,64,82,179,242,54,24,3,120
