,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM)
195,UTTAR PRADESH,BALLIA,3223642.0,16.73,933.0,73.82,61.72,85.19,2981.0
196,UTTAR PRADESH,JAUNPUR,4476072.0,14.43,1018.0,73.66,61.7,86.06,4038.0
197,UTTAR PRADESH,GHAZIPUR,3622727.0,19.26,951.0,74.27,62.29,85.77,3377.0
198,UTTAR PRADESH,CHANDAULI,1952713.0,18.83,913.0,73.86,63.07,83.58,2541.0
199,UTTAR PRADESH,VARANASI,3682194.0,17.32,909.0,77.05,68.2,85.12,1535.0
200,UTTAR PRADESH,SAMBHAL (BHIM NAGAR),,,,,,,0.0
201,UTTAR PRADESH,MIRZAPUR,2494533.0,17.89,900.0,70.38,58.77,80.83,4405.0
202,UTTAR PRADESH,SONBHADRA,1862612.0,27.27,913.0,66.18,54.11,77.19,6905.0
203,UTTAR PRADESH,BHADOI,1554203.0,14.81,950.0,71.1,57.79,83.87,1015.0
204,UTTAR PRADESH,KANSHIRAM NAGAR,1438156.0,17.05,879.0,62.3,50.2,72.91,1955.0
205,UTTAR PRADESH,AMETHI - CSM NAGAR,,,,,,,0.0
206,UTTAR PRADESH,SHAMLI (PRABUDH NAGAR),,,,,,,0.0
207,UTTAR PRADESH,HAPUR (PANCHSHEEL NAGAR),,,,,,,0.0
208,BIHAR,PASHCHIM CHAMPARAN,3922780.0,28.89,906.0,58.06,46.79,68.16,5228.0
209,BIHAR,PURBA CHAMPARAN,5082868.0,29.01,901.0,58.26,47.36,68.02,3968.0
210,BIHAR,SHEOHAR,656916.0,27.32,890.0,56.0,47.25,63.72,349.0
211,BIHAR,SITAMARHI,3419622.0,27.47,899.0,53.53,43.4,62.56,2294.0
212,BIHAR,MADHUBANI,4476044.0,25.19,925.0,60.9,48.3,72.53,3501.0
213,BIHAR,SUPAUL,2228397.0,28.62,925.0,59.65,46.63,71.65,2425.0
214,BIHAR,ARARIA,2806200.0,30.0,921.0,55.1,45.18,64.15,2830.0
215,BIHAR,KISHANGANJ,1690948.0,30.44,946.0,57.04,47.98,65.56,1884.0
216,BIHAR,PURNIA,3273127.0,28.66,930.0,52.49,43.19,61.09,3229.0
217,BIHAR,KATIHAR,3068149.0,28.23,916.0,53.56,45.37,60.99,3057.0
218,BIHAR,MADHEPURA,1994618.0,30.65,914.0,53.78,42.75,63.82,1788.0
219,BIHAR,SAHARSA,1897102.0,25.79,906.0,54.57,42.73,65.22,1687.0
220,BIHAR,DARBHANGA,3921971.0,19.0,910.0,58.26,46.88,68.58,2279.0
221,BIHAR,MUZAFFARPUR,4778610.0,27.54,898.0,65.68,56.82,73.61,3172.0
222,BIHAR,GOPALGANJ,2558037.0,18.83,1015.0,67.04,56.03,78.38,2033.0
223,BIHAR,SIWAN,3318176.0,22.25,984.0,71.59,60.35,82.77,2219.0
224,BIHAR,SARAN,3943098.0,21.37,949.0,68.57,56.89,79.71,2641.0
225,BIHAR,VAISHALI,3495249.0,28.58,892.0,68.56,59.1,77.0,2036.0
226,BIHAR,SAMASTIPUR,4254782.0,25.33,909.0,63.81,53.52,73.09,2904.0
227,BIHAR,BEGUSARAI,2954367.0,25.75,894.0,66.23,57.1,74.36,1918.0
228,BIHAR,KHAGARIA,1657599.0,29.46,883.0,60.87,52.16,68.51,1486.0
229,BIHAR,BHAGALPUR,3032226.0,25.13,879.0,64.96,56.49,72.3,2569.0
230,BIHAR,BANKA,2029339.0,26.14,907.0,60.12,49.4,69.76,3020.0
231,BIHAR,MUNGER,1359054.0,19.45,879.0,73.3,65.53,80.06,1419.0
232,BIHAR,LAKHISARAI,1000717.0,24.74,900.0,64.95,54.89,73.98,1228.0
233,BIHAR,SHEIKHPURA,634927.0,20.82,926.0,65.96,54.93,76.14,689.0
234,BIHAR,NALANDA,2872523.0,21.18,921.0,66.41,54.76,77.11,2355.0
235,BIHAR,PATNA,5772804.0,22.34,892.0,72.47,63.72,80.28,3202.0
236,BIHAR,BHOJPUR,2720155.0,21.27,900.0,72.79,60.2,84.08,2395.0
237,BIHAR,BUXAR,1707643.0,21.77,922.0,71.77,59.84,82.78,1703.0
238,BIHAR,KAIMUR (BHABUA),1626900.0,27.54,919.0,71.01,59.56,81.49,3332.0
239,BIHAR,ROHTAS,2962593.0,20.22,914.0,75.59,64.95,85.29,3881.0
240,BIHAR,JEHANABAD,1124176.0,21.34,918.0,68.27,56.24,79.3,931.0
241,BIHAR,AURANGABAD (BIHAR),2511243.0,24.75,916.0,72.77,62.05,82.52,3305.0
242,BIHAR,GAYA,4379383.0,26.08,932.0,66.35,55.9,76.02,4976.0
243,BIHAR,NAWADA,2216653.0,22.49,936.0,61.63,51.09,71.4,2494.0
244,BIHAR,JAMUI,1756078.0,25.54,921.0,62.16,49.44,73.77,3098.0
245,BIHAR,ARWAL,699563.0,19.01,927.0,69.54,56.85,81.27,638.0
246,SIKKIM,NORTH SIKKIM,43354.0,5.66,769.0,77.39,69.92,83.03,4226.0
247,SIKKIM,WEST SIKKIM,136299.0,10.58,941.0,78.69,72.12,84.86,1166.0
248,SIKKIM,SOUTH SIKKIM,146742.0,11.57,914.0,82.06,76.57,87.06,750.0
249,SIKKIM,EAST SIKKIM,281293.0,14.79,872.0,84.67,79.41,89.22,954.0
250,ARUNACHAL PRADESH,TAWANG,49950.0,28.33,701.0,60.61,48.75,68.54,2172.0
251,ARUNACHAL PRADESH,WEST KAMENG,87013.0,16.64,755.0,69.4,60.8,75.66,7422.0
252,ARUNACHAL PRADESH,EAST KAMENG,78413.0,37.14,1012.0,62.48,54.18,70.95,4134.0
253,ARUNACHAL PRADESH,PAPUM PARE,176385.0,44.57,950.0,82.14,76.65,87.33,3462.0
254,ARUNACHAL PRADESH,LOWER SUBANSIRI,82839.0,48.65,975.0,76.33,70.1,82.4,3508.0
255,ARUNACHAL PRADESH,UPPER SUBANSIRI,83205.0,50.34,982.0,63.96,60.51,67.36,7032.0
256,ARUNACHAL PRADESH,WEST SIANG,112272.0,8.04,916.0,67.62,60.76,73.89,8325.0
257,ARUNACHAL PRADESH,EAST SIANG,99019.0,13.3,962.0,73.54,67.9,78.94,3603.0
258,ARUNACHAL PRADESH,UPPER SIANG,35289.0,5.77,891.0,59.94,55.22,64.09,6590.0
259,ARUNACHAL PRADESH,DIBANG VALLEY,7948.0,9.3,808.0,64.8,59.1,69.39,9129.0
260,ARUNACHAL PRADESH,LOHIT,145538.0,16.44,901.0,69.88,61.62,77.25,5212.0
261,ARUNACHAL PRADESH,CHANGLANG,147951.0,17.96,914.0,61.9,52.08,70.8,4662.0
262,ARUNACHAL PRADESH,TIRAP,111997.0,11.63,931.0,52.23,41.83,61.87,2362.0
263,ARUNACHAL PRADESH,KURUNG KUMEY,89717.0,111.01,1029.0,50.67,44.31,57.28,6040.0
264,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,53986.0,7.01,919.0,70.38,63.56,76.62,3900.0
265,ARUNACHAL PRADESH,Anjaw,21089.0,13.77,805.0,59.4,46.39,69.54,6190.0
266,ARUNACHAL PRADESH,LONGDING,,,,,,,
267,ARUNACHAL PRADESH,NAMSAI,,,,,,,
268,ARUNACHAL PRADESH,KRA DADI,,,,,,,
269,ARUNACHAL PRADESH,SIANG,,,,,,,
270,NAGALAND,MON,250671.0,-3.83,898.0,56.6,52.39,60.38,1786.0
271,NAGALAND,TUENSANG,196801.0,5.81,930.0,73.7,70.4,76.76,2536.0
